path	area	role	lines	native_destination	dest_method	dest_confidence
tt_4.8.4/VFS/RPC VFS/RPC VFS_s.c	VFS	utility	3121	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/RPC VFS/main.cpp	VFS	utility	68	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/Shared/AES/aes.h	VFS	engine wrapper/API	205	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/Shared/AES/aes_modes.c	VFS	utility	918	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/Shared/AES/aes_via_ace.h	VFS	engine wrapper/API	529	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/Shared/AES/aescpp.h	VFS	engine wrapper/API	148	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/Shared/AES/aescrypt.c	VFS	utility	301	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/Shared/AES/aeskey.c	VFS	utility	555	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/Shared/AES/aesopt.h	VFS	engine wrapper/API	746	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/Shared/AES/aestab.c	VFS	utility	383	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/Shared/AES/aestab.h	VFS	engine wrapper/API	174	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/Shared/AES/brg_endian.h	VFS	engine wrapper/API	133	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/Shared/AES/brg_types.h	VFS	engine wrapper/API	223	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/Shared/AES/rdtsc.h	VFS	engine wrapper/API	127	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/Shared/Base.h	VFS	engine wrapper/API	25	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/Shared/BaseClasses.cpp	VFS	utility	157	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/Shared/BaseClasses.h	VFS	engine wrapper/API	97	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/Shared/Basetypes.h	VFS	engine wrapper/API	19	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/Shared/Console.cpp	VFS	utility	207	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/Shared/Console.h	VFS	engine wrapper/API	67	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/Shared/Hash.cpp	VFS	utility	131	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/Shared/Hash.h	VFS	engine wrapper/API	11	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/Shared/Lists.h	VFS	engine wrapper/API	1300	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/Shared/MD5.cpp	VFS	utility	283	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/Shared/MD5.h	VFS	engine wrapper/API	61	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/Shared/Memory.cpp	VFS	utility	88	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/Shared/Memory.h	VFS	engine wrapper/API	247	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/Shared/Serialize.cpp	VFS	utility	106	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/Shared/Serialize.h	VFS	engine wrapper/API	67	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/Shared/StdLib.cpp	VFS	utility	1108	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/Shared/StdLib.h	VFS	engine wrapper/API	110	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/Shared/StreamMap.cpp	VFS	utility	175	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/Shared/StreamMap.h	VFS	engine wrapper/API	50	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/VFS Server/RPC Procs.cpp	VFS	utility	509	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/VFS Server/RPC VFS_c.c	VFS	utility	3991	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/VFS Server/RPC VFS_h.h	VFS	engine wrapper/API	445	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/VFS Server/RPC VFS_s.c	VFS	utility	3121	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/VFS Server/main.cpp	VFS	utility	255	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/VFS Server/main.h	VFS	engine wrapper/API	25	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/VFS Test/RPC VFS_c.c	VFS	utility	3991	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/VFS Test/RPC VFS_h.h	VFS	engine wrapper/API	445	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/VFS Test/RPC VFS_s.c	VFS	utility	3121	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/VFS Test/STB.cpp	VFS	utility	305	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/VFS Test/STB.h	VFS	engine wrapper/API	59	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/VFS Test/main.cpp	VFS	utility	584	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/VFS/API/VFSAdvanced.h	VFS	engine wrapper/API	34	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/VFS/API/VFSBase.h	VFS	engine wrapper/API	165	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/VFS/API/VFSCryptography.h	VFS	engine wrapper/API	14	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/VFS/API/VFSErrorcodes.h	VFS	engine wrapper/API	50	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/VFS/API/VFSInterface.h	VFS	engine wrapper/API	135	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/VFS/API/VFSInterfaceV2.h	VFS	engine wrapper/API	10	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/VFS/API/VFSModule.h	VFS	engine wrapper/API	18	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/VFS/API/VFSPipeCommands.h	VFS	engine wrapper/API	55	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/VFS/API/VFSRPCInterface.h	VFS	engine wrapper/API	107	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/VFS/API/VFSVersion.h	VFS	engine wrapper/API	4	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/VFS/InetProtocol.cpp	VFS	utility	377	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/VFS/InetProtocol.h	VFS	engine wrapper/API	100	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/VFS/VFS.cpp	VFS	utility	3964	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/VFS/VFS.h	VFS	engine wrapper/API	402	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/VFS/VFS2.cpp	VFS	utility	28	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/VFS/VFSIStream.cpp	VFS	utility	166	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/VFS/VFSStructures.h	VFS	engine wrapper/API	224	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/VFS/dllmain.cpp	VFS	utility	134	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/VFS/dllmain.h	VFS	engine wrapper/API	26	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/VFS/resource.h	VFS	engine wrapper/API	14	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/Viewer/main.cpp	VFS	utility	1226	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/Viewer/main.h	VFS	engine wrapper/API	34	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/Viewer/resource.h	VFS	engine wrapper/API	43	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
