class	method	arity	virtual	openw3d_class	source_kind	source_file	source_line	address	openw3d_has	openw3d_owners	declaration
ScriptedDialogClass	Is_Dirty	0	0	absent	inline-header	tt_4.8.4/scripts/ScriptedDialogClass.h	54				bool Is_Dirty() { return isDirty; }
ScriptedDialogClass	Set_Dirty	1	0	absent	inline-header	tt_4.8.4/scripts/ScriptedDialogClass.h	55				void Set_Dirty(bool dirty) { isDirty = dirty; }
ScriptedDialogClass	Get_Dialog_Type	0	1	absent	pure-virtual	tt_4.8.4/scripts/ScriptedDialogClass.h	48				virtual DialogType Get_Dialog_Type() = 0;
ScriptedDialogClass	Add_Control	1	1	absent	declaration-only				owned elsewhere	DialogBaseClass	virtual void Add_Control(ScriptedControlClass* control);
ScriptedDialogClass	Clear_Controls	0	1	absent	declaration-only				nowhere		virtual void Clear_Controls();
ScriptedDialogClass	Create_Control	1	1	absent	declaration-only				nowhere		virtual ScriptedControlClass* Create_Control(ControlType type);
ScriptedDialogClass	Find_Control	1	1	absent	declaration-only				owned elsewhere	DialogBaseClass,DialogMgrClass	virtual ScriptedControlClass* Find_Control(int id);
ScriptedDialogClass	Focus_Control	1	1	absent	declaration-only				nowhere		virtual void Focus_Control(ScriptedControlClass* control);
ScriptedDialogClass	Get_Control_Count	0	1	absent	declaration-only				owned elsewhere	DialogBaseClass	virtual int Get_Control_Count();
ScriptedDialogClass	Get_Control_Index	1	1	absent	declaration-only				nowhere		virtual ScriptedControlClass* Get_Control_Index(int index);
ScriptedDialogClass	Remove_Control	1	1	absent	declaration-only				owned elsewhere	DialogBaseClass	virtual void Remove_Control(int id);
ScriptedDialogClass	ScriptedDialogClass	2	0	absent	declaration-only				nowhere		ScriptedDialogClass(int client, int dlg_id);
ScriptedDialogClass	~ScriptedDialogClass	0	1	absent	declaration-only				nowhere		virtual ~ScriptedDialogClass();
SoldierFactoryGameObj	On_Revived	0	0	present	declaration-only				nowhere		void On_Revived (void);
SoldierGameObj	Apply_Damage_IgnoreVehicleCheck	3	1	present	declaration-only				nowhere		virtual void Apply_Damage_IgnoreVehicleCheck( const OffenseObjectClass & damager, float scale = 1.0f, int alternate_skin = -1 );
SoldierGameObj	Disable_Ghost_Collision	0	0	present	declaration-only				nowhere		bool Disable_Ghost_Collision();
